record_id,date,shift,production_line,product,production_quantity,defective_units,scrap_units,downtime_minutes,defect_category,downtime_reason,good_units,defect_rate,scrap_rate
50,2025-01-06,Afternoon,Line B,Product Alpha,1276,64,11,64.81,Surface Defect,Material Shortage,1201,0.0502,0.0086
51,2025-01-06,Night,Line B,Product Alpha,1177,27,3,11.02,Assembly Error,,1147,0.0229,0.0025
52,2025-01-06,Morning,Line C,Product Beta,1107,38,7,70.26,Coating Defect,Quality Issue,1062,0.0343,0.0063
53,2025-01-06,Afternoon,Line C,Product Alpha,1057,43,5,46.92,Dimensional Error,Material Shortage,1009,0.0407,0.0047
54,2025-01-06,Night,Line C,Product Gamma,1123,35,9,82.64,Assembly Error,Material Shortage,1079,0.0312,0.008
55,2025-01-07,Morning,Line A,Product Gamma,1474,84,18,24.86,Dimensional Error,Quality Issue,1372,0.057,0.0122
56,2025-01-07,Afternoon,Line A,Product Delta,1422,21,5,67.79,Coating Defect,Maintenance,1396,0.0148,0.0035
57,2025-01-07,Night,Line A,Product Delta,1305,69,12,34.9,Assembly Error,Maintenance,1224,0.0529,0.0092
58,2025-01-07,Morning,Line B,Product Alpha,1250,52,6,19.22,Coating Defect,Mechanical Failure,1192,0.0416,0.0048
59,2025-01-07,Afternoon,Line B,Product Alpha,1304,45,10,61.1,Surface Defect,Changeover,1249,0.0345,0.0077
60,2025-01-07,Night,Line B,Product Delta,1216,67,10,36.74,Dimensional Error,Maintenance,1139,0.0551,0.0082
61,2025-01-07,Morning,Line C,Product Beta,1081,64,9,31.88,Assembly Error,Maintenance,1008,0.0592,0.0083
62,2025-01-07,Afternoon,Line C,Product Alpha,1063,47,8,13.18,Assembly Error,,1008,0.0442,0.0075
63,2025-01-07,Night,Line C,Product Delta,1038,34,9,37.5,Surface Defect,Changeover,995,0.0328,0.0087
64,2025-01-08,Morning,Line A,Product Delta,1492,28,8,30.54,Dimensional Error,Changeover,1456,0.0188,0.0054
65,2025-01-08,Afternoon,Line A,Product Delta,1378,16,4,17.63,Coating Defect,Maintenance,1358,0.0116,0.0029
66,2025-01-08,Night,Line A,Product Delta,1347,29,3,32.71,Dimensional Error,Mechanical Failure,1315,0.0215,0.0022
67,2025-01-08,Morning,Line B,Product Alpha,1210,47,10,33.64,Assembly Error,Mechanical Failure,1153,0.0388,0.0083
68,2025-01-08,Afternoon,Line B,Product Beta,1336,63,17,66.1,Coating Defect,Mechanical Failure,1256,0.0472,0.0127
69,2025-01-08,Night,Line B,Product Alpha,1185,51,12,42.45,Coating Defect,Changeover,1122,0.043,0.0101
70,2025-01-08,Morning,Line C,Product Beta,1206,71,11,14.44,Assembly Error,,1124,0.0589,0.0091
71,2025-01-08,Afternoon,Line C,Product Delta,1169,49,10,33.18,Assembly Error,Maintenance,1110,0.0419,0.0086
72,2025-01-08,Night,Line C,Product Beta,1079,29,5,60.4,Dimensional Error,Mechanical Failure,1045,0.0269,0.0046
73,2025-01-09,Morning,Line A,Product Beta,1558,55,9,37.98,Coating Defect,Quality Issue,1494,0.0353,0.0058
74,2025-01-09,Afternoon,Line A,Product Beta,1426,52,8,54.87,Coating Defect,Mechanical Failure,1366,0.0365,0.0056
75,2025-01-09,Night,Line A,Product Gamma,1313,56,17,20.44,Assembly Error,Maintenance,1240,0.0427,0.0129
76,2025-01-09,Morning,Line B,Product Gamma,1271,53,9,64.34,Surface Defect,Changeover,1209,0.0417,0.0071
77,2025-01-09,Afternoon,Line B,Product Gamma,1324,11,2,16.48,Surface Defect,Maintenance,1311,0.0083,0.0015
78,2025-01-09,Night,Line B,Product Delta,1251,27,7,25.68,Surface Defect,Mechanical Failure,1217,0.0216,0.0056
79,2025-01-09,Morning,Line C,Product Delta,1173,39,7,18.97,Surface Defect,Material Shortage,1127,0.0332,0.006
80,2025-01-09,Afternoon,Line C,Product Delta,1143,66,20,31.82,Coating Defect,Maintenance,1057,0.0577,0.0175
81,2025-01-09,Night,Line C,Product Alpha,1104,68,12,48.58,Dimensional Error,Material Shortage,1024,0.0616,0.0109
82,2025-01-10,Morning,Line A,Product Alpha,1554,18,5,63.91,Coating Defect,Quality Issue,1531,0.0116,0.0032
83,2025-01-10,Afternoon,Line A,Product Gamma,1447,76,14,47.66,Surface Defect,Quality Issue,1357,0.0525,0.0097
84,2025-01-10,Night,Line A,Product Gamma,1423,37,10,64.56,Coating Defect,Changeover,1376,0.026,0.007
85,2025-01-10,Morning,Line B,Product Delta,1263,65,9,20.65,Surface Defect,Material Shortage,1189,0.0515,0.0071
86,2025-01-10,Afternoon,Line B,Product Alpha,1272,47,9,71.16,Dimensional Error,Mechanical Failure,1216,0.0369,0.0071
87,2025-01-10,Night,Line B,Product Beta,1167,46,9,63.35,Coating Defect,Changeover,1112,0.0394,0.0077
88,2025-01-10,Morning,Line C,Product Beta,1114,54,8,62.97,Dimensional Error,Changeover,1052,0.0485,0.0072
89,2025-01-10,Afternoon,Line C,Product Gamma,1086,62,18,55.21,Surface Defect,Mechanical Failure,1006,0.0571,0.0166
90,2025-01-10,Night,Line C,Product Beta,1077,24,3,22.23,Surface Defect,Changeover,1050,0.0223,0.0028
91,2025-01-11,Morning,Line A,Product Beta,1463,27,7,45.95,Coating Defect,Quality Issue,1429,0.0185,0.0048
92,2025-01-11,Afternoon,Line A,Product Gamma,1468,77,14,71.19,Assembly Error,Maintenance,1377,0.0525,0.0095
93,2025-01-11,Night,Line A,Product Beta,1332,51,8,46.77,Coating Defect,Mechanical Failure,1273,0.0383,0.006
94,2025-01-11,Morning,Line B,Product Delta,1265,62,9,42.2,Dimensional Error,Maintenance,1194,0.049,0.0071
95,2025-01-11,Afternoon,Line B,Product Delta,1271,33,4,50.0,Coating Defect,Quality Issue,1234,0.026,0.0031
96,2025-01-11,Night,Line B,Product Beta,1212,28,6,20.49,Assembly Error,Quality Issue,1178,0.0231,0.005
97,2025-01-11,Morning,Line C,Product Delta,1163,42,12,21.39,Surface Defect,Quality Issue,1109,0.0361,0.0103
98,2025-01-11,Afternoon,Line C,Product Beta,1061,42,8,61.95,Surface Defect,Mechanical Failure,1011,0.0396,0.0075
99,2025-01-11,Night,Line C,Product Delta,957,27,8,47.97,Coating Defect,Mechanical Failure,922,0.0282,0.0084
100,2025-01-12,Morning,Line A,Product Alpha,1546,16,4,60.46,Assembly Error,Quality Issue,1526,0.0103,0.0026
101,2025-01-12,Afternoon,Line A,Product Beta,1469,55,10,29.48,Assembly Error,Material Shortage,1404,0.0374,0.0068
102,2025-01-12,Night,Line A,Product Alpha,1312,75,8,62.96,Assembly Error,Material Shortage,1229,0.0572,0.0061
103,2025-01-12,Morning,Line B,Product Gamma,1306,13,3,9.48,Coating Defect,,1290,0.01,0.0023
104,2025-01-12,Afternoon,Line B,Product Gamma,1298,40,10,16.09,Surface Defect,Changeover,1248,0.0308,0.0077
105,2025-01-12,Night,Line B,Product Alpha,1111,16,4,19.07,Assembly Error,Quality Issue,1091,0.0144,0.0036
106,2025-01-12,Morning,Line C,Product Delta,1169,59,13,26.96,Surface Defect,Quality Issue,1097,0.0505,0.0111
107,2025-01-12,Afternoon,Line C,Product Delta,1083,15,2,73.39,Dimensional Error,Changeover,1066,0.0139,0.0018
108,2025-01-12,Night,Line C,Product Beta,950,60,17,81.55,Assembly Error,Material Shortage,873,0.0632,0.0179
109,2025-01-13,Morning,Line A,Product Gamma,1456,35,6,16.42,Surface Defect,Changeover,1415,0.024,0.0041
110,2025-01-13,Afternoon,Line A,Product Alpha,1468,66,10,51.58,Coating Defect,Quality Issue,1392,0.045,0.0068
111,2025-01-13,Night,Line A,Product Gamma,1397,22,6,12.08,Dimensional Error,,1369,0.0157,0.0043
112,2025-01-13,Morning,Line B,Product Alpha,1377,34,4,81.91,Dimensional Error,Mechanical Failure,1339,0.0247,0.0029
113,2025-01-13,Afternoon,Line B,Product Beta,1330,17,1,25.39,Coating Defect,Mechanical Failure,1312,0.0128,0.0008
114,2025-01-13,Night,Line B,Product Alpha,1265,31,8,50.84,Dimensional Error,Mechanical Failure,1226,0.0245,0.0063
115,2025-01-13,Morning,Line C,Product Beta,1057,63,7,76.2,Coating Defect,Mechanical Failure,987,0.0596,0.0066
116,2025-01-13,Afternoon,Line C,Product Gamma,1167,60,8,13.49,Coating Defect,,1099,0.0514,0.0069
117,2025-01-13,Night,Line C,Product Beta,1118,15,1,64.09,Coating Defect,Material Shortage,1102,0.0134,0.0009
118,2025-01-14,Morning,Line A,Product Gamma,1428,43,5,67.71,Surface Defect,Changeover,1380,0.0301,0.0035
119,2025-01-14,Afternoon,Line A,Product Alpha,1492,20,4,67.96,Assembly Error,Quality Issue,1468,0.0134,0.0027
120,2025-01-14,Night,Line A,Product Beta,1434,79,16,49.23,Dimensional Error,Changeover,1339,0.0551,0.0112
121,2025-01-14,Morning,Line B,Product Beta,1305,24,4,24.85,Coating Defect,Quality Issue,1277,0.0184,0.0031
122,2025-01-14,Afternoon,Line B,Product Gamma,1258,23,2,71.07,Surface Defect,Changeover,1233,0.0183,0.0016
123,2025-01-14,Night,Line B,Product Gamma,1220,33,6,49.0,Dimensional Error,Quality Issue,1181,0.027,0.0049
124,2025-01-14,Morning,Line C,Product Beta,1079,11,1,38.54,Coating Defect,Changeover,1067,0.0102,0.0009
125,2025-01-14,Afternoon,Line C,Product Gamma,1180,67,19,13.3,Assembly Error,,1094,0.0568,0.0161
126,2025-01-14,Night,Line C,Product Delta,1009,30,5,46.73,Assembly Error,Material Shortage,974,0.0297,0.005
127,2025-01-15,Morning,Line A,Product Gamma,1517,24,2,77.85,Coating Defect,Material Shortage,1491,0.0158,0.0013
128,2025-01-15,Afternoon,Line A,Product Beta,1464,48,8,60.91,Surface Defect,Maintenance,1408,0.0328,0.0055
129,2025-01-15,Night,Line A,Product Delta,1403,14,4,73.19,Dimensional Error,Material Shortage,1385,0.01,0.0029
130,2025-01-15,Morning,Line B,Product Beta,1308,19,3,49.89,Dimensional Error,Material Shortage,1286,0.0145,0.0023
131,2025-01-15,Afternoon,Line B,Product Gamma,1256,42,9,75.71,Dimensional Error,Quality Issue,1205,0.0334,0.0072
132,2025-01-15,Night,Line B,Product Gamma,1086,16,4,24.43,Coating Defect,Changeover,1066,0.0147,0.0037
133,2025-01-15,Morning,Line C,Product Alpha,1156,28,6,12.78,Dimensional Error,,1122,0.0242,0.0052
134,2025-01-15,Afternoon,Line C,Product Beta,1085,64,5,59.34,Dimensional Error,Quality Issue,1016,0.059,0.0046
135,2025-01-15,Night,Line C,Product Gamma,1051,62,17,9.56,Dimensional Error,,972,0.059,0.0162
136,2025-01-16,Morning,Line A,Product Delta,1566,16,2,12.4,Surface Defect,,1548,0.0102,0.0013
137,2025-01-16,Afternoon,Line A,Product Alpha,1401,67,13,27.04,Dimensional Error,Material Shortage,1321,0.0478,0.0093
138,2025-01-16,Night,Line A,Product Delta,1334,61,10,27.82,Coating Defect,Quality Issue,1263,0.0457,0.0075
139,2025-01-16,Morning,Line B,Product Delta,1311,43,8,14.73,Surface Defect,,1260,0.0328,0.0061
140,2025-01-16,Afternoon,Line B,Product Alpha,1339,82,14,44.92,Dimensional Error,Material Shortage,1243,0.0612,0.0105
141,2025-01-16,Night,Line B,Product Gamma,1181,29,8,54.36,Coating Defect,Quality Issue,1144,0.0246,0.0068
142,2025-01-16,Morning,Line C,Product Beta,1183,34,7,75.54,Assembly Error,Material Shortage,1142,0.0287,0.0059
143,2025-01-16,Afternoon,Line C,Product Alpha,1101,38,9,80.97,Assembly Error,Mechanical Failure,1054,0.0345,0.0082
144,2025-01-16,Night,Line C,Product Delta,1058,18,2,43.23,Assembly Error,Material Shortage,1038,0.017,0.0019
145,2025-01-17,Morning,Line A,Product Gamma,1505,80,21,18.01,Assembly Error,Maintenance,1404,0.0532,0.014
146,2025-01-17,Afternoon,Line A,Product Beta,1509,95,15,32.3,Surface Defect,Material Shortage,1399,0.063,0.0099
147,2025-01-17,Night,Line A,Product Gamma,1294,36,8,16.45,Coating Defect,Material Shortage,1250,0.0278,0.0062
148,2025-01-17,Morning,Line B,Product Alpha,1287,30,5,23.44,Coating Defect,Maintenance,1252,0.0233,0.0039
149,2025-01-17,Afternoon,Line B,Product Delta,1336,43,5,18.43,Coating Defect,Mechanical Failure,1288,0.0322,0.0037
150,2025-01-17,Night,Line B,Product Gamma,1088,48,11,73.83,Coating Defect,Maintenance,1029,0.0441,0.0101
151,2025-01-17,Morning,Line C,Product Beta,1138,54,14,59.14,Surface Defect,Mechanical Failure,1070,0.0475,0.0123
152,2025-01-17,Afternoon,Line C,Product Delta,1034,15,4,56.04,Coating Defect,Mechanical Failure,1015,0.0145,0.0039
153,2025-01-17,Night,Line C,Product Beta,1050,55,16,15.69,Assembly Error,Maintenance,979,0.0524,0.0152
154,2025-01-18,Morning,Line A,Product Delta,1583,43,11,12.89,Coating Defect,,1529,0.0272,0.0069
155,2025-01-18,Afternoon,Line A,Product Gamma,1372,51,13,8.22,Surface Defect,,1308,0.0372,0.0095
156,2025-01-18,Night,Line A,Product Gamma,1427,26,5,47.06,Dimensional Error,Maintenance,1396,0.0182,0.0035
157,2025-01-18,Morning,Line B,Product Beta,1281,62,15,82.48,Coating Defect,Material Shortage,1204,0.0484,0.0117
158,2025-01-18,Afternoon,Line B,Product Alpha,1320,41,10,31.34,Dimensional Error,Changeover,1269,0.0311,0.0076
159,2025-01-18,Night,Line B,Product Beta,1123,32,7,69.19,Dimensional Error,Changeover,1084,0.0285,0.0062
160,2025-01-18,Morning,Line C,Product Beta,1131,32,9,74.56,Assembly Error,Maintenance,1090,0.0283,0.008
161,2025-01-18,Afternoon,Line C,Product Delta,1058,34,4,54.58,Surface Defect,Quality Issue,1020,0.0321,0.0038
162,2025-01-18,Night,Line C,Product Beta,958,36,10,74.39,Assembly Error,Maintenance,912,0.0376,0.0104
163,2025-01-19,Morning,Line A,Product Delta,1514,76,13,42.4,Dimensional Error,Maintenance,1425,0.0502,0.0086
164,2025-01-19,Afternoon,Line A,Product Gamma,1369,81,23,60.99,Surface Defect,Maintenance,1265,0.0592,0.0168
165,2025-01-19,Night,Line A,Product Delta,1335,21,5,68.48,Dimensional Error,Mechanical Failure,1309,0.0157,0.0037
166,2025-01-19,Morning,Line B,Product Gamma,1297,30,5,33.79,Surface Defect,Material Shortage,1262,0.0231,0.0039
167,2025-01-19,Afternoon,Line B,Product Alpha,1194,62,18,14.22,Coating Defect,,1114,0.0519,0.0151
168,2025-01-19,Night,Line B,Product Beta,1188,43,12,53.36,Assembly Error,Changeover,1133,0.0362,0.0101
169,2025-01-19,Morning,Line C,Product Gamma,1119,30,3,8.29,Surface Defect,,1086,0.0268,0.0027
170,2025-01-19,Afternoon,Line C,Product Alpha,1190,57,11,62.07,Dimensional Error,Changeover,1122,0.0479,0.0092
171,2025-01-19,Night,Line C,Product Gamma,1070,9,2,38.55,Coating Defect,Changeover,1059,0.0084,0.0019
172,2025-01-20,Morning,Line A,Product Delta,1434,82,8,9.1,Coating Defect,,1344,0.0572,0.0056
173,2025-01-20,Afternoon,Line A,Product Alpha,1448,26,8,40.34,Surface Defect,Maintenance,1414,0.018,0.0055
174,2025-01-20,Night,Line A,Product Alpha,1394,58,9,40.95,Surface Defect,Material Shortage,1327,0.0416,0.0065
175,2025-01-20,Morning,Line B,Product Beta,1353,54,7,54.25,Assembly Error,Mechanical Failure,1292,0.0399,0.0052
176,2025-01-20,Afternoon,Line B,Product Beta,1255,61,8,21.75,Assembly Error,Changeover,1186,0.0486,0.0064
177,2025-01-20,Night,Line B,Product Delta,1134,36,9,45.63,Assembly Error,Material Shortage,1089,0.0317,0.0079
178,2025-01-20,Morning,Line C,Product Gamma,1078,50,13,53.61,Surface Defect,Maintenance,1015,0.0464,0.0121
179,2025-01-20,Afternoon,Line C,Product Beta,1107,66,18,40.91,Dimensional Error,Changeover,1023,0.0596,0.0163
180,2025-01-20,Night,Line C,Product Gamma,959,11,2,17.84,Dimensional Error,Material Shortage,946,0.0115,0.0021
181,2025-01-21,Morning,Line A,Product Beta,1534,30,7,70.6,Assembly Error,Material Shortage,1497,0.0196,0.0046
182,2025-01-21,Afternoon,Line A,Product Beta,1493,23,2,65.76,Coating Defect,Maintenance,1468,0.0154,0.0013
183,2025-01-21,Night,Line A,Product Delta,1334,19,2,17.74,Surface Defect,Quality Issue,1313,0.0142,0.0015
184,2025-01-21,Morning,Line B,Product Delta,1353,42,7,16.64,Coating Defect,Maintenance,1304,0.031,0.0052
185,2025-01-21,Afternoon,Line B,Product Gamma,1292,78,17,41.86,Surface Defect,Maintenance,1197,0.0604,0.0132
186,2025-01-21,Night,Line B,Product Delta,1225,23,6,58.25,Assembly Error,Changeover,1196,0.0188,0.0049
187,2025-01-21,Morning,Line C,Product Beta,1111,32,3,55.47,Dimensional Error,Changeover,1076,0.0288,0.0027
188,2025-01-21,Afternoon,Line C,Product Delta,1186,11,3,62.17,Dimensional Error,Mechanical Failure,1172,0.0093,0.0025
189,2025-01-21,Night,Line C,Product Delta,1115,19,4,25.55,Coating Defect,Material Shortage,1092,0.017,0.0036
190,2025-01-22,Morning,Line A,Product Beta,1489,39,4,78.42,Assembly Error,Quality Issue,1446,0.0262,0.0027
191,2025-01-22,Afternoon,Line A,Product Gamma,1395,76,18,14.79,Assembly Error,,1301,0.0545,0.0129
192,2025-01-22,Night,Line A,Product Delta,1386,53,9,81.88,Surface Defect,Mechanical Failure,1324,0.0382,0.0065
193,2025-01-22,Morning,Line B,Product Beta,1263,47,9,45.75,Surface Defect,Maintenance,1207,0.0372,0.0071
194,2025-01-22,Afternoon,Line B,Product Beta,1260,65,14,46.03,Coating Defect,Mechanical Failure,1181,0.0516,0.0111
195,2025-01-22,Night,Line B,Product Delta,1136,63,13,78.85,Coating Defect,Maintenance,1060,0.0555,0.0114
196,2025-01-22,Morning,Line C,Product Delta,1181,27,4,30.64,Dimensional Error,Quality Issue,1150,0.0229,0.0034
197,2025-01-22,Afternoon,Line C,Product Gamma,1139,68,13,19.58,Dimensional Error,Material Shortage,1058,0.0597,0.0114
198,2025-01-22,Night,Line C,Product Beta,1035,12,2,54.85,Coating Defect,Material Shortage,1021,0.0116,0.0019
199,2025-01-23,Morning,Line A,Product Beta,1457,17,3,43.87,Dimensional Error,Changeover,1437,0.0117,0.0021
200,2025-01-23,Afternoon,Line A,Product Gamma,1481,88,13,13.09,Coating Defect,,1380,0.0594,0.0088
201,2025-01-23,Night,Line A,Product Alpha,1307,42,11,42.81,Dimensional Error,Mechanical Failure,1254,0.0321,0.0084
202,2025-01-23,Morning,Line B,Product Gamma,1369,19,4,64.74,Dimensional Error,Changeover,1346,0.0139,0.0029
203,2025-01-23,Afternoon,Line B,Product Alpha,1274,38,5,73.79,Dimensional Error,Material Shortage,1231,0.0298,0.0039
204,2025-01-23,Night,Line B,Product Alpha,1141,43,7,18.25,Assembly Error,Maintenance,1091,0.0377,0.0061
205,2025-01-23,Morning,Line C,Product Beta,1122,35,7,58.47,Coating Defect,Changeover,1080,0.0312,0.0062
206,2025-01-23,Afternoon,Line C,Product Beta,1176,21,5,60.46,Surface Defect,Quality Issue,1150,0.0179,0.0043
207,2025-01-23,Night,Line C,Product Gamma,966,23,5,44.3,Coating Defect,Quality Issue,938,0.0238,0.0052
208,2025-01-24,Morning,Line A,Product Beta,1513,29,4,75.05,Coating Defect,Maintenance,1480,0.0192,0.0026
209,2025-01-24,Afternoon,Line A,Product Delta,1410,47,8,70.2,Assembly Error,Quality Issue,1355,0.0333,0.0057
210,2025-01-24,Night,Line A,Product Beta,1388,80,21,20.62,Surface Defect,Quality Issue,1287,0.0576,0.0151
211,2025-01-24,Morning,Line B,Product Beta,1281,76,14,36.33,Assembly Error,Maintenance,1191,0.0593,0.0109
212,2025-01-24,Afternoon,Line B,Product Delta,1267,25,2,32.07,Surface Defect,Quality Issue,1240,0.0197,0.0016
213,2025-01-24,Night,Line B,Product Gamma,1143,55,14,9.88,Coating Defect,,1074,0.0481,0.0122
214,2025-01-24,Morning,Line C,Product Delta,1139,30,7,37.0,Assembly Error,Quality Issue,1102,0.0263,0.0061
215,2025-01-24,Afternoon,Line C,Product Alpha,1075,25,2,25.57,Coating Defect,Changeover,1048,0.0233,0.0019
216,2025-01-24,Night,Line C,Product Gamma,1022,56,7,42.01,Surface Defect,Quality Issue,959,0.0548,0.0068
217,2025-01-25,Morning,Line A,Product Alpha,1571,73,20,82.32,Surface Defect,Quality Issue,1478,0.0465,0.0127
218,2025-01-25,Afternoon,Line A,Product Beta,1403,64,14,70.62,Assembly Error,Changeover,1325,0.0456,0.01
219,2025-01-25,Night,Line A,Product Alpha,1396,51,5,17.11,Coating Defect,Mechanical Failure,1340,0.0365,0.0036
220,2025-01-25,Morning,Line B,Product Beta,1315,27,7,35.45,Surface Defect,Mechanical Failure,1281,0.0205,0.0053
221,2025-01-25,Afternoon,Line B,Product Gamma,1334,16,2,62.09,Dimensional Error,Maintenance,1316,0.012,0.0015
222,2025-01-25,Night,Line B,Product Alpha,1110,54,7,60.91,Surface Defect,Mechanical Failure,1049,0.0486,0.0063
223,2025-01-25,Morning,Line C,Product Beta,1046,55,7,60.14,Surface Defect,Maintenance,984,0.0526,0.0067
224,2025-01-25,Afternoon,Line C,Product Beta,1069,43,4,8.15,Assembly Error,,1022,0.0402,0.0037
225,2025-01-25,Night,Line C,Product Beta,948,50,12,24.13,Assembly Error,Material Shortage,886,0.0527,0.0127
226,2025-01-26,Morning,Line A,Product Gamma,1490,85,8,43.12,Surface Defect,Material Shortage,1397,0.057,0.0054
227,2025-01-26,Afternoon,Line A,Product Beta,1361,85,14,47.3,Dimensional Error,Material Shortage,1262,0.0625,0.0103
