record_id,date,shift,production_line,product,production_quantity,defective_units,scrap_units,downtime_minutes,defect_category,downtime_reason
137,2025-01-16,Afternoon,Line A,Product Alpha,1401,67,13,27.04,Dimensional Error,Material Shortage
138,2025-01-16,Night,Line A,Product Delta,1334,61,10,27.82,Coating Defect,Quality Issue
139,2025-01-16,Morning,Line B,Product Delta,1311,43,8,14.73,Surface Defect,None
140,2025-01-16,Afternoon,Line B,Product Alpha,1339,82,14,44.92,Dimensional Error,Material Shortage
141,2025-01-16,Night,Line B,Product Gamma,1181,29,8,54.36,Coating Defect,Quality Issue
142,2025-01-16,Morning,Line C,Product Beta,1183,34,7,75.54,Assembly Error,Material Shortage
143,2025-01-16,Afternoon,Line C,Product Alpha,1101,38,9,80.97,Assembly Error,Mechanical Failure
144,2025-01-16,Night,Line C,Product Delta,1058,18,2,43.23,Assembly Error,Material Shortage
145,2025-01-17,Morning,Line A,Product Gamma,1505,80,21,18.01,Assembly Error,Maintenance
146,2025-01-17,Afternoon,Line A,Product Beta,1509,95,15,32.3,Surface Defect,Material Shortage
147,2025-01-17,Night,Line A,Product Gamma,1294,36,8,16.45,Coating Defect,Material Shortage
148,2025-01-17,Morning,Line B,Product Alpha,1287,30,5,23.44,Coating Defect,Maintenance
149,2025-01-17,Afternoon,Line B,Product Delta,1336,43,5,18.43,Coating Defect,Mechanical Failure
150,2025-01-17,Night,Line B,Product Gamma,1088,48,11,73.83,Coating Defect,Maintenance
151,2025-01-17,Morning,Line C,Product Beta,1138,54,14,59.14,Surface Defect,Mechanical Failure
152,2025-01-17,Afternoon,Line C,Product Delta,1034,15,4,56.04,Coating Defect,Mechanical Failure
153,2025-01-17,Night,Line C,Product Beta,1050,55,16,15.69,Assembly Error,Maintenance
154,2025-01-18,Morning,Line A,Product Delta,1583,43,11,12.89,Coating Defect,None
155,2025-01-18,Afternoon,Line A,Product Gamma,1372,51,13,8.22,Surface Defect,None
156,2025-01-18,Night,Line A,Product Gamma,1427,26,5,47.06,Dimensional Error,Maintenance
157,2025-01-18,Morning,Line B,Product Beta,1281,62,15,82.48,Coating Defect,Material Shortage
158,2025-01-18,Afternoon,Line B,Product Alpha,1320,41,10,31.34,Dimensional Error,Changeover
159,2025-01-18,Night,Line B,Product Beta,1123,32,7,69.19,Dimensional Error,Changeover
160,2025-01-18,Morning,Line C,Product Beta,1131,32,9,74.56,Assembly Error,Maintenance
161,2025-01-18,Afternoon,Line C,Product Delta,1058,34,4,54.58,Surface Defect,Quality Issue
162,2025-01-18,Night,Line C,Product Beta,958,36,10,74.39,Assembly Error,Maintenance
163,2025-01-19,Morning,Line A,Product Delta,1514,76,13,42.4,Dimensional Error,Maintenance
164,2025-01-19,Afternoon,Line A,Product Gamma,1369,81,23,60.99,Surface Defect,Maintenance
165,2025-01-19,Night,Line A,Product Delta,1335,21,5,68.48,Dimensional Error,Mechanical Failure
166,2025-01-19,Morning,Line B,Product Gamma,1297,30,5,33.79,Surface Defect,Material Shortage
167,2025-01-19,Afternoon,Line B,Product Alpha,1194,62,18,14.22,Coating Defect,None
168,2025-01-19,Night,Line B,Product Beta,1188,43,12,53.36,Assembly Error,Changeover
169,2025-01-19,Morning,Line C,Product Gamma,1119,30,3,8.29,Surface Defect,None
170,2025-01-19,Afternoon,Line C,Product Alpha,1190,57,11,62.07,Dimensional Error,Changeover
171,2025-01-19,Night,Line C,Product Gamma,1070,9,2,38.55,Coating Defect,Changeover
172,2025-01-20,Morning,Line A,Product Delta,1434,82,8,9.1,Coating Defect,None
173,2025-01-20,Afternoon,Line A,Product Alpha,1448,26,8,40.34,Surface Defect,Maintenance
174,2025-01-20,Night,Line A,Product Alpha,1394,58,9,40.95,Surface Defect,Material Shortage
175,2025-01-20,Morning,Line B,Product Beta,1353,54,7,54.25,Assembly Error,Mechanical Failure
176,2025-01-20,Afternoon,Line B,Product Beta,1255,61,8,21.75,Assembly Error,Changeover
177,2025-01-20,Night,Line B,Product Delta,1134,36,9,45.63,Assembly Error,Material Shortage
178,2025-01-20,Morning,Line C,Product Gamma,1078,50,13,53.61,Surface Defect,Maintenance
179,2025-01-20,Afternoon,Line C,Product Beta,1107,66,18,40.91,Dimensional Error,Changeover
180,2025-01-20,Night,Line C,Product Gamma,959,11,2,17.84,Dimensional Error,Material Shortage
181,2025-01-21,Morning,Line A,Product Beta,1534,30,7,70.6,Assembly Error,Material Shortage
182,2025-01-21,Afternoon,Line A,Product Beta,1493,23,2,65.76,Coating Defect,Maintenance
183,2025-01-21,Night,Line A,Product Delta,1334,19,2,17.74,Surface Defect,Quality Issue
184,2025-01-21,Morning,Line B,Product Delta,1353,42,7,16.64,Coating Defect,Maintenance
185,2025-01-21,Afternoon,Line B,Product Gamma,1292,78,17,41.86,Surface Defect,Maintenance
186,2025-01-21,Night,Line B,Product Delta,1225,23,6,58.25,Assembly Error,Changeover
187,2025-01-21,Morning,Line C,Product Beta,1111,32,3,55.47,Dimensional Error,Changeover
188,2025-01-21,Afternoon,Line C,Product Delta,1186,11,3,62.17,Dimensional Error,Mechanical Failure
189,2025-01-21,Night,Line C,Product Delta,1115,19,4,25.55,Coating Defect,Material Shortage
190,2025-01-22,Morning,Line A,Product Beta,1489,39,4,78.42,Assembly Error,Quality Issue
191,2025-01-22,Afternoon,Line A,Product Gamma,1395,76,18,14.79,Assembly Error,None
192,2025-01-22,Night,Line A,Product Delta,1386,53,9,81.88,Surface Defect,Mechanical Failure
193,2025-01-22,Morning,Line B,Product Beta,1263,47,9,45.75,Surface Defect,Maintenance
194,2025-01-22,Afternoon,Line B,Product Beta,1260,65,14,46.03,Coating Defect,Mechanical Failure
195,2025-01-22,Night,Line B,Product Delta,1136,63,13,78.85,Coating Defect,Maintenance
196,2025-01-22,Morning,Line C,Product Delta,1181,27,4,30.64,Dimensional Error,Quality Issue
197,2025-01-22,Afternoon,Line C,Product Gamma,1139,68,13,19.58,Dimensional Error,Material Shortage
198,2025-01-22,Night,Line C,Product Beta,1035,12,2,54.85,Coating Defect,Material Shortage
199,2025-01-23,Morning,Line A,Product Beta,1457,17,3,43.87,Dimensional Error,Changeover
200,2025-01-23,Afternoon,Line A,Product Gamma,1481,88,13,13.09,Coating Defect,None
201,2025-01-23,Night,Line A,Product Alpha,1307,42,11,42.81,Dimensional Error,Mechanical Failure
202,2025-01-23,Morning,Line B,Product Gamma,1369,19,4,64.74,Dimensional Error,Changeover
203,2025-01-23,Afternoon,Line B,Product Alpha,1274,38,5,73.79,Dimensional Error,Material Shortage
204,2025-01-23,Night,Line B,Product Alpha,1141,43,7,18.25,Assembly Error,Maintenance
205,2025-01-23,Morning,Line C,Product Beta,1122,35,7,58.47,Coating Defect,Changeover
206,2025-01-23,Afternoon,Line C,Product Beta,1176,21,5,60.46,Surface Defect,Quality Issue
207,2025-01-23,Night,Line C,Product Gamma,966,23,5,44.3,Coating Defect,Quality Issue
208,2025-01-24,Morning,Line A,Product Beta,1513,29,4,75.05,Coating Defect,Maintenance
209,2025-01-24,Afternoon,Line A,Product Delta,1410,47,8,70.2,Assembly Error,Quality Issue
210,2025-01-24,Night,Line A,Product Beta,1388,80,21,20.62,Surface Defect,Quality Issue
211,2025-01-24,Morning,Line B,Product Beta,1281,76,14,36.33,Assembly Error,Maintenance
212,2025-01-24,Afternoon,Line B,Product Delta,1267,25,2,32.07,Surface Defect,Quality Issue
213,2025-01-24,Night,Line B,Product Gamma,1143,55,14,9.88,Coating Defect,None
214,2025-01-24,Morning,Line C,Product Delta,1139,30,7,37,Assembly Error,Quality Issue
215,2025-01-24,Afternoon,Line C,Product Alpha,1075,25,2,25.57,Coating Defect,Changeover
216,2025-01-24,Night,Line C,Product Gamma,1022,56,7,42.01,Surface Defect,Quality Issue
217,2025-01-25,Morning,Line A,Product Alpha,1571,73,20,82.32,Surface Defect,Quality Issue
218,2025-01-25,Afternoon,Line A,Product Beta,1403,64,14,70.62,Assembly Error,Changeover
219,2025-01-25,Night,Line A,Product Alpha,1396,51,5,17.11,Coating Defect,Mechanical Failure
220,2025-01-25,Morning,Line B,Product Beta,1315,27,7,35.45,Surface Defect,Mechanical Failure
221,2025-01-25,Afternoon,Line B,Product Gamma,1334,16,2,62.09,Dimensional Error,Maintenance
222,2025-01-25,Night,Line B,Product Alpha,1110,54,7,60.91,Surface Defect,Mechanical Failure
223,2025-01-25,Morning,Line C,Product Beta,1046,55,7,60.14,Surface Defect,Maintenance
224,2025-01-25,Afternoon,Line C,Product Beta,1069,43,4,8.15,Assembly Error,None
225,2025-01-25,Night,Line C,Product Beta,948,50,12,24.13,Assembly Error,Material Shortage
226,2025-01-26,Morning,Line A,Product Gamma,1490,85,8,43.12,Surface Defect,Material Shortage
227,2025-01-26,Afternoon,Line A,Product Beta,1361,85,14,47.3,Dimensional Error,Material Shortage
228,2025-01-26,Night,Line A,Product Beta,1448,62,14,56.75,Coating Defect,Maintenance
229,2025-01-26,Morning,Line B,Product Gamma,1344,14,4,20.06,Assembly Error,Mechanical Failure
230,2025-01-26,Afternoon,Line B,Product Alpha,1313,56,6,57.11,Dimensional Error,Changeover
231,2025-01-26,Night,Line B,Product Alpha,1178,66,15,69.97,Dimensional Error,Mechanical Failure
232,2025-01-26,Morning,Line C,Product Delta,1048,53,16,65.56,Coating Defect,Maintenance
233,2025-01-26,Afternoon,Line C,Product Delta,1046,64,10,64.52,Dimensional Error,Maintenance
234,2025-01-26,Night,Line C,Product Delta,1049,65,16,10.9,Coating Defect,None
235,2025-01-27,Morning,Line A,Product Alpha,1526,30,9,18.76,Coating Defect,Maintenance
236,2025-01-27,Afternoon,Line A,Product Alpha,1484,92,21,67.04,Dimensional Error,Maintenance
237,2025-01-27,Night,Line A,Product Delta,1281,44,9,45.65,Assembly Error,Mechanical Failure
238,2025-01-27,Morning,Line B,Product Gamma,1374,78,9,81.18,Assembly Error,Mechanical Failure
239,2025-01-27,Afternoon,Line B,Product Delta,1196,26,5,26.75,Coating Defect,Maintenance
240,2025-01-27,Night,Line B,Product Alpha,1125,33,9,81.81,Dimensional Error,Quality Issue
241,2025-01-27,Morning,Line C,Product Gamma,1157,35,10,63.67,Assembly Error,Maintenance
242,2025-01-27,Afternoon,Line C,Product Beta,1051,19,4,26.24,Coating Defect,Quality Issue
243,2025-01-27,Night,Line C,Product Beta,1047,38,11,19.03,Coating Defect,Material Shortage
244,2025-01-28,Morning,Line A,Product Gamma,1557,54,6,75.67,Dimensional Error,Material Shortage
245,2025-01-28,Afternoon,Line A,Product Gamma,1432,49,10,14.38,Assembly Error,None
246,2025-01-28,Night,Line A,Product Delta,1279,33,4,18.16,Surface Defect,Maintenance
247,2025-01-28,Morning,Line B,Product Gamma,1216,72,17,59.76,Coating Defect,Changeover
248,2025-01-28,Afternoon,Line B,Product Beta,1167,24,5,58.04,Assembly Error,Changeover
249,2025-01-28,Night,Line B,Product Alpha,1219,45,5,32.09,Assembly Error,Mechanical Failure
250,2025-01-28,Morning,Line C,Product Gamma,1143,50,8,20.4,Surface Defect,Maintenance
251,2025-01-28,Afternoon,Line C,Product Beta,1077,32,4,59.66,Dimensional Error,Mechanical Failure
252,2025-01-28,Night,Line C,Product Beta,1099,54,14,45.38,Dimensional Error,Maintenance
253,2025-01-29,Morning,Line A,Product Alpha,1518,72,16,81.83,Assembly Error,Maintenance
254,2025-01-29,Afternoon,Line A,Product Beta,1380,47,14,73.62,Coating Defect,Mechanical Failure
255,2025-01-29,Night,Line A,Product Beta,1306,12,3,25.67,Surface Defect,Material Shortage
256,2025-01-29,Morning,Line B,Product Alpha,1343,30,3,21.8,Surface Defect,Mechanical Failure
257,2025-01-29,Afternoon,Line B,Product Beta,1186,17,3,27.94,Surface Defect,Material Shortage
258,2025-01-29,Night,Line B,Product Alpha,1091,43,5,82.63,Coating Defect,Maintenance
259,2025-01-29,Morning,Line C,Product Gamma,1141,25,6,16.18,Assembly Error,Material Shortage
260,2025-01-29,Afternoon,Line C,Product Delta,1063,34,7,70.47,Dimensional Error,Quality Issue
261,2025-01-29,Night,Line C,Product Delta,1105,63,5,32.22,Assembly Error,Maintenance
262,2025-01-30,Morning,Line A,Product Alpha,1517,21,6,55.82,Surface Defect,Changeover
263,2025-01-30,Afternoon,Line A,Product Beta,1513,45,8,51.62,Dimensional Error,Maintenance
264,2025-01-30,Night,Line A,Product Alpha,1304,14,3,34.67,Assembly Error,Quality Issue
265,2025-01-30,Morning,Line B,Product Alpha,1284,20,5,70.46,Dimensional Error,Material Shortage
266,2025-01-30,Afternoon,Line B,Product Delta,1284,36,4,60.44,Assembly Error,Maintenance
267,2025-01-30,Night,Line B,Product Delta,1261,55,7,61.97,Dimensional Error,Quality Issue
268,2025-01-30,Morning,Line C,Product Delta,1175,54,7,13.26,Surface Defect,None
269,2025-01-30,Afternoon,Line C,Product Delta,1031,62,14,13.23,Dimensional Error,None
270,2025-01-30,Night,Line C,Product Alpha,1104,43,12,68.53,Assembly Error,Changeover
271,2025-01-31,Morning,Line A,Product Delta,1488,32,6,50.95,Coating Defect,Maintenance
272,2025-01-31,Afternoon,Line A,Product Alpha,1415,21,2,58.55,Assembly Error,Maintenance
273,2025-01-31,Night,Line A,Product Gamma,1276,44,6,74.59,Coating Defect,Mechanical Failure
274,2025-01-31,Morning,Line B,Product Delta,1295,11,1,59.33,Assembly Error,Maintenance
275,2025-01-31,Afternoon,Line B,Product Beta,1186,16,4,9.88,Surface Defect,None
276,2025-01-31,Night,Line B,Product Beta,1210,36,7,80.14,Coating Defect,Quality Issue
277,2025-01-31,Morning,Line C,Product Gamma,1098,62,12,61.95,Assembly Error,Maintenance
278,2025-01-31,Afternoon,Line C,Product Delta,1063,16,4,47.18,Assembly Error,Changeover
279,2025-01-31,Night,Line C,Product Alpha,1025,25,7,9.8,Dimensional Error,None
280,2025-02-01,Morning,Line A,Product Delta,1412,31,9,61.21,Surface Defect,Changeover
281,2025-02-01,Afternoon,Line A,Product Beta,1393,48,4,72.83,Surface Defect,Material Shortage
282,2025-02-01,Night,Line A,Product Delta,1372,51,6,55.14,Dimensional Error,Maintenance
283,2025-02-01,Morning,Line B,Product Delta,1221,24,5,12.73,Coating Defect,None
284,2025-02-01,Afternoon,Line B,Product Delta,1188,28,7,56.81,Surface Defect,Mechanical Failure
285,2025-02-01,Night,Line B,Product Delta,1252,34,10,60.97,Dimensional Error,Material Shortage
286,2025-02-01,Morning,Line C,Product Delta,1120,52,9,39.62,Assembly Error,Quality Issue
287,2025-02-01,Afternoon,Line C,Product Alpha,1064,66,7,11.06,Surface Defect,None
288,2025-02-01,Night,Line C,Product Alpha,1095,34,5,52.39,Coating Defect,Changeover
